week,job_count,avg_salary,rolling_avg_4week,week_over_week_growth
2023-12-25,12,34304.64,12.0,
2024-03-04,4,66583.28,8.0,-66.66666666666667
2025-03-31,4,68975.41,6.666666666666667,0.0
2025-07-07,4,57616.82,6.0,0.0
2025-07-28,16,69961.715,7.0,300.0
2025-08-18,4,43185.19,7.0,-75.0
2025-09-01,4,56076.55,7.0,0.0
2025-09-15,4,56490.98,7.0,0.0
2025-09-22,8,47965.09,5.0,100.0
2025-10-20,8,47923.515,6.0,0.0
2025-10-27,4,42850.11,6.0,-50.0
2025-11-17,4,25000.0,6.0,0.0
2025-11-24,4,38887.68,5.0,0.0
2025-12-01,8,56629.265,5.0,100.0
2025-12-15,4,50118.4,5.0,-50.0
2025-12-22,8,49690.6,6.0,100.0
2026-01-05,16,54865.075,9.0,100.0
2026-01-12,8,60189.32,9.0,-50.0
2026-01-19,12,50561.503333333334,11.0,50.0
2026-01-26,20,48324.862,14.0,66.66666666666667
2026-02-02,28,49790.61714285715,17.0,39.99999999999999
2026-02-09,28,53519.54714285715,22.0,0.0
2026-02-16,68,61635.58470588235,36.0,142.85714285714283
2026-02-23,40,50178.015,41.0,-41.17647058823529
2026-03-02,32,60034.15625,42.0,-19.999999999999996
2026-03-09,64,70284.28125,51.0,100.0
2026-03-16,48,67916.40666666666,46.0,-25.0
2026-03-23,144,64503.059166666666,72.0,200.0
2026-03-30,160,58594.06175000001,104.0,11.111111111111116
2026-04-06,256,63921.242656250004,152.0,60.00000000000001
2026-04-13,876,50891.86611872146,359.0,242.1875
2026-04-20,264,71035.20272727273,389.0,-69.86301369863014
